0,2666,2666,2666,2666,2666,2666,4000,2666,2666,2666,2666,2666,2666,2666,4000,4000,6666,13333,15333,14000,14000,15333,16666,19333,23333,32000,38666,39333,64000,132000,7028,7052,7040,7040,7044,7044,7048,7040,7040,7040,7048,7048,7044,7044,7040,7044,7040,7040,7044,7040,7040,7040,7040,7040,7040,7040,7084,7048,7040,7228,7132,imgs/p2151257795.jpg,剧情;爱情,国产,96,2013,7460,我想和你好好的
9400,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,9453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,imgs/p1408665952.jpg,剧情;爱情;灾难,进口分账,194,2012,25544,泰坦尼克号
0,4000,4000,5333,4000,4000,4000,8000,7333,6666,5333,5333,5333,4000,5333,5333,6666,6666,8000,8000,26000,37333,24666,22666,19333,23333,19333,22000,25333,38666,103333,78,90,90,90,90,90,94,174,102,94,90,90,90,90,94,90,90,90,90,98,90,270,94,158,94,90,98,198,102,190,174,imgs/p2196449817.jpg,爱情,国产,106,2014,5892,一生一世
0,200,200,200,600,1000,800,800,1200,2200,1900,1700,1300,1200,1400,1500,1300,1200,1200,1400,1500,1500,1700,1500,1700,1700,2100,2100,3300,5400,17700,8,17,17,17,17,17,17,17,17,17,17,20,20,30,30,24,17,17,20,24,17,24,20,20,17,27,27,78,161,40,27,imgs/p2164881898.jpg,喜剧;爱情,国产,93,2014,7173,六福喜事
0,10000,10000,10000,7000,6000,6000,8000,12000,11000,8000,12000,14000,13000,16000,21000,19000,15000,17000,19000,19000,27000,39000,58000,37000,32000,62000,77000,84000,95000,155000,4,16,16,16,20,24,16,20,20,16,24,60,28,28,16,20,16,16,60,28,20,20,16,16,68,32,72,24,28,28,196,imgs/p2179858051.jpg,动作;科幻;冒险,进口分账,142,2014,10355,超凡蜘蛛侠2
1000,1800,3400,2800,2200,2600,3000,3000,2600,3000,2600,2600,2200,2200,2200,3400,9800,6600,5600,5600,8400,9800,9800,9000,8200,8600,10200,20400,16200,20200,40600,18,38,142,54,34,30,30,30,30,38,46,38,34,34,42,42,42,34,34,30,30,210,46,38,42,38,34,38,42,46,38,imgs/p2199416829.jpg,剧情;动作;犯罪,国产,126,2014,2666,痞子英雄2
5000,5666,6333,10666,8666,7666,8333,9000,9666,9333,8666,7666,7666,7000,7000,7000,7666,8333,9666,10666,10666,9333,25000,22000,20333,18333,18333,17000,20333,32000,69666,28,40,88,116,64,100,48,40,104,80,88,104,96,48,40,104,92,96,104,88,44,44,180,216,224,124,108,48,48,128,144,imgs/p1713985976.jpg,动作;悬疑;犯罪,国产,108,2012,13636,消失的子弹
0,533,1066,1133,1000,1000,1000,1000,1066,1133,1400,1133,1133,1133,1266,1133,1133,1400,1400,1400,1800,1933,1933,2066,2600,2933,3333,4066,4333,5733,11333,8,15,39,17,15,22,15,15,32,24,15,17,17,15,32,17,20,36,17,15,15,15,22,17,56,29,15,32,29,41,118,imgs/p738254395.jpg,剧情;动作;惊悚;冒险,进口,108,2011,6948,夺命深渊
0,3600,3000,2600,2000,2000,1600,1600,2000,2000,2000,2000,2000,3200,2600,2000,2000,2000,2000,2400,2000,2400,3400,3400,3800,6800,10200,18000,14400,17600,38400,74,94,90,86,86,86,86,86,90,86,86,86,86,90,90,86,86,86,86,90,86,86,90,90,90,90,154,150,270,94,194,imgs/p2174794423.jpg,喜剧;爱情,国产,84,2014,2926,整容日记
60000,73333,66666,66666,73333,66666,66666,66666,66666,66666,73333,73333,73333,66666,73333,93333,93333,86666,93333,93333,140000,130000,130000,130000,256666,330000,196666,220000,290000,373333,700000,98,122,122,122,122,122,122,130,130,122,122,122,122,130,122,122,130,122,130,130,274,298,242,274,138,130,234,258,322,506,514,imgs/p2238949728.jpg,爱情,国产,117,2015,19574,左耳
